Interactor	Interactor Systematic Name	Interactor	Interactor Systematic Name	Assay	Annotation	Action	Modification	Source	Reference	Note
EMP24	YGL200C	ALG1	YBR110W	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	ALG5	YPL227C	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	ALG9	YNL219C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	ANP1	YEL036C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	ARR3	YPR201W	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	ATG23	YLR431C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Graef M, et al. (2013) PMID:23904270	cutoff defined by probability scores of >70% and not being detected in control samples derived from the untagged atg19 deletion mutants
EMP24	YGL200C	ATG27	YJL178C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Graef M, et al. (2013) PMID:23904270	cutoff defined by probability scores of >70% and not being detected in control samples derived from the untagged atg19 deletion mutants
EMP24	YGL200C	ATG8	YBL078C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Graef M, et al. (2013) PMID:23904270	cutoff defined by probability scores of >70% and not being detected in control samples derived from the untagged atg19 deletion mutants
EMP24	YGL200C	ATG9	YDL149W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Graef M, et al. (2013) PMID:23904270	cutoff defined by probability scores of >70% and not being detected in control samples derived from the untagged atg19 deletion mutants
EMP24	YGL200C	BFR1	YOR198C	Affinity Capture-RNA	high-throughput	Hit	No Modification	BioGRID	Lapointe CP, et al. (2015) PMID:26524240	RNA Tagging
EMP24	YGL200C	BMH1	YER177W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Gavade JN, et al. (2022) PMID:35240051	
EMP24	YGL200C	BOS1	YLR078C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	CCW14	YLR390W-A	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Castillon GA, et al. (2011) PMID:21680708	
EMP24	YGL200C	CDC1	YDR182W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	COP1	YDL145C	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Sabido-Bozo S, et al. (2021) PMID:33401608	
EMP24	YGL200C	CPT1	YNL130C	PCA	high-throughput	Hit	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	CWH43	YCR017C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	CWP2	YKL096W-A	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Castillon GA, et al. (2011) PMID:21680708	
EMP24	YGL200C	DHH1	YDL160C	Affinity Capture-RNA	high-throughput	Hit	No Modification	BioGRID	Jungfleisch J, et al. (2017) PMID:27821408	CRAC
EMP24	YGL200C	DNF1	YER166W	PCA	high-throughput	Hit	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	ELO2	YCR034W	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	ELO3	YLR372W	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	ELO3	YLR372W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	EMP24	YGL200C	PCA	high-throughput	Hit	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	EMP47	YFL048C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	EPS1	YIL005W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	EPT1	YHR123W	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	ERD2	YBL040C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	ERG25	YGR060W	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
