Interactor	Interactor Systematic Name	Interactor	Interactor Systematic Name	Assay	Annotation	Action	Modification	Source	Reference	Note
GAS1	YMR307W	ATG8	YBL078C	Proximity Label-MS	high-throughput	Hit	No Modification	BioGRID	Filali-Mouncef Y, et al. (2024) PMID:38958087	Atg8 interactors upon  1  h  of nitrogen  starvation
GAS1	YMR307W	BFR1	YOR198C	Affinity Capture-RNA	high-throughput	Hit	No Modification	BioGRID	Lapointe CP, et al. (2015) PMID:26524240	RNA Tagging
GAS1	YMR307W	BST1	YFL025C	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Fujita M, et al. (2006) PMID:16319176	
GAS1	YMR307W	BST1	YFL025C	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Fujita M, et al. (2006) PMID:16319176	
GAS1	YMR307W	CCT7	YJL111W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	CMR1	YDL156W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Gallina I, et al. (2015) PMID:25817432	Supplementary Data 1
GAS1	YMR307W	COQ8	YGL119W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Guo X, et al. (2017) PMID:28539364	
GAS1	YMR307W	DBP10	YDL031W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Cruz VE, et al. (2024) PMID:38632236	
GAS1	YMR307W	DEF1	YKL054C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Damodaren N, et al. (2017) PMID:29180430	The crude eluate of tap-tagged Def1-TFIIH was subjected to MS-based semiquantitative proteomics analysis and cross-linking followed by mass spectrometry (MS). The MS analysis identified ~170 proteins with two or more unique peptides.
GAS1	YMR307W	DHH1	YDL160C	Affinity Capture-RNA	high-throughput	Hit	No Modification	BioGRID	Mitchell SF, et al. (2013) PMID:23222640	UV cross-linking followed by immunoprecipitation
GAS1	YMR307W	DHH1	YDL160C	Affinity Capture-RNA	high-throughput	Hit	No Modification	BioGRID	Jungfleisch J, et al. (2017) PMID:27821408	CRAC
GAS1	YMR307W	ECM33	YBR078W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	EMP24	YGL200C	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Muñiz M, et al. (2000) PMID:10704443	Crosslinking
GAS1	YMR307W	EMP24	YGL200C	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Castillon GA, et al. (2011) PMID:21680708	
GAS1	YMR307W	EMP24	YGL200C	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Rodriguez-Gallardo S, et al. (2022) PMID:35508142	
GAS1	YMR307W	ERV25	YML012W	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Muñiz M, et al. (2000) PMID:10704443	Crosslinking
GAS1	YMR307W	EUG1	YDR518W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Freije BJ, et al. (2022) PMID:35084835	cross-linked
GAS1	YMR307W	EXG2	YDR261C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	EXP1	YDL121C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	FLC2	YAL053W	PCA	high-throughput	Hit	No Modification	BioGRID	Tarassov K, et al. (2008) PMID:18467557	
GAS1	YMR307W	GAP1	YKR039W	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Morsomme P, et al. (2003) PMID:12885760	
GAS1	YMR307W	GAP1	YKR039W	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Surma MA, et al. (2011) PMID:21575114	
GAS1	YMR307W	GAS1	YMR307W	Co-fractionation	manually curated	Hit	No Modification	BioGRID	Ryzhova TA, et al. (2018) PMID:29027580	Proteins forming SDS-resistant aggregates
GAS1	YMR307W	GAS3	YMR215W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	GAS5	YOL030W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
GAS1	YMR307W	GDA1	YEL042W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
